,Gross domestic product 2022,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States,"2,54,62,700",
CHN,2,,China,"1,79,63,171",
JPN,3,,Japan,"42,31,141",
DEU,4,,Germany,"40,72,192",
IND,5,,India,"33,85,090",
GBR,6,,United Kingdom,"30,70,668",
FRA,7,,France,"27,82,905",
RUS,8,,Russian Federation,"22,40,422",a
CAN,9,,Canada,"21,39,840",
ITA,10,,Italy,"20,10,432",
BRA,11,,Brazil,"19,20,096",
AUS,12,,Australia,"16,75,419",
KOR,13,,"Korea, Rep.","16,65,246",
MEX,14,,Mexico,"14,14,187",
ESP,15,,Spain,"13,97,509",
IDN,16,,Indonesia,"13,19,100",
SAU,17,,Saudi Arabia,"11,08,149",
NLD,18,,Netherlands,"9,91,115",
TUR,19,,Türkiye,"9,05,988",
CHE,20,,Switzerland,"8,07,706",
POL,21,,Poland,"6,88,177",
ARG,22,,Argentina,"6,32,770",
SWE,23,,Sweden,"5,85,939",
NOR,24,,Norway,"5,79,267",
BEL,25,,Belgium,"5,78,604",
CUB,26,,Cuba,"5,45,218",
IRL,27,,Ireland,"5,29,245",
ISR,28,,Israel,"5,22,033",
ARE,29,,United Arab Emirates,"5,07,535",
THA,30,,Thailand,"4,95,341",
NGA,31,,Nigeria,"4,77,386",
EGY,32,,"Egypt, Arab Rep.","4,76,748",
AUT,33,,Austria,"4,71,400",
SGP,34,,Singapore,"4,66,789",
BGD,35,,Bangladesh,"4,60,201",
VNM,36,,Vietnam,"4,08,802",
MYS,37,,Malaysia,"4,06,306",
ZAF,38,,South Africa,"4,05,870",
PHL,39,,Philippines,"4,04,284",
DNK,40,,Denmark,"3,95,404",
IRN,41,,"Iran, Islamic Rep.","3,88,544",
PAK,42,,Pakistan,"3,76,533",
HKG,43,,"Hong Kong SAR, China","3,59,839",
COL,44,,Colombia,"3,43,939",
ROU,45,,Romania,"3,01,262",
CHL,46,,Chile,"3,01,025",
CZE,47,,Czech Republic,"2,90,924",
FIN,48,,Finland,"2,80,826",
IRQ,49,,Iraq,"2,64,182",
PRT,50,,Portugal,"2,51,945",
NZL,51,,New Zealand,"2,47,234",
PER,52,,Peru,"2,42,632",
QAT,53,,Qatar,"2,37,296",
KAZ,54,,Kazakhstan,"2,20,623",
GRC,55,,Greece,"2,19,066",
DZA,56,,Algeria,"1,91,913",
KWT,57,,Kuwait,"1,84,558",
HUN,58,,Hungary,"1,78,789",
UKR,59,,Ukraine,"1,60,503",a
MAR,60,,Morocco,"1,34,182",b
ETH,61,,Ethiopia,"1,26,783",
SVK,62,,Slovak Republic,"1,15,469",
ECU,63,,Ecuador,"1,15,049",
OMN,64,,Oman,"1,14,667",
DOM,65,,Dominican Republic,"1,13,642",
PRI,66,,Puerto Rico,"1,13,435",
KEN,67,,Kenya,"1,13,420",
AGO,68,,Angola,"1,06,714",
GTM,69,,Guatemala,"95,003",
BGR,70,,Bulgaria,"89,040",
LUX,71,,Luxembourg,"82,275",
UZB,72,,Uzbekistan,"80,392",
AZE,73,,Azerbaijan,"78,721",
PAN,74,,Panama,"76,523",
TZA,75,,Tanzania,"75,709",c
LKA,76,,Sri Lanka,"74,404",
GHA,77,,Ghana,"72,839",
BLR,78,,Belarus,"72,793",
URY,79,,Uruguay,"71,177",
HRV,80,,Croatia,"70,965",
LTU,81,,Lithuania,"70,334",
CIV,82,,Côte d'Ivoire,"70,019",
CRI,83,,Costa Rica,"68,381",
SRB,84,,Serbia,"63,502",
SVN,85,,Slovenia,"62,118",
MMR,86,,Myanmar,"59,364",
COD,87,,"Congo, Dem. Rep.","58,066",
SDN,88,,Sudan,"51,662",
JOR,89,,Jordan,"47,451",
TUN,90,,Tunisia,"46,665",
LBY,91,,Libya,"45,752",
TKM,92,,Turkmenistan,"45,611",
UGA,93,,Uganda,"45,559",
BHR,94,,Bahrain,"44,391",
CMR,95,,Cameroon,"44,342",
BOL,96,,Bolivia,"43,069",
PRY,97,,Paraguay,"41,722",
LVA,98,,Latvia,"41,154",
NPL,99,,Nepal,"40,828",
EST,100,,Estonia,"38,101",
SLV,101,,El Salvador,"32,489",
HND,102,,Honduras,"31,718",
PNG,103,,Papua New Guinea,"30,633",
KHM,104,,Cambodia,"29,957",
ZMB,105,,Zambia,"29,784",
CYP,106,,Cyprus,"28,439",d
TTO,107,,Trinidad and Tobago,"27,899",
ISL,108,,Iceland,"27,842",
SEN,109,,Senegal,"27,684",
GEO,110,,Georgia,"24,605",e
BIH,111,,Bosnia and Herzegovina,"24,528",
LBN,112,,Lebanon,"23,132",
MAC,113,,"Macao SAR, China","21,979",
GIN,114,,Guinea,"21,228",
GAB,115,,Gabon,"21,072",
ZWE,116,,Zimbabwe,"20,678",
BWA,117,,Botswana,"20,352",
HTI,118,,Haiti,"20,254",
ARM,119,,Armenia,"19,503",
PSE,120,,West Bank and Gaza,"19,112",
BFA,121,,Burkina Faso,"18,885",
ALB,122,,Albania,"18,882",
MLI,123,,Mali,"18,827",
MOZ,124,,Mozambique,"17,851",
MLT,125,,Malta,"17,765",
BEN,126,,Benin,"17,402",
JAM,127,,Jamaica,"17,098",
MNG,128,,Mongolia,"16,811",
BRN,129,,Brunei Darussalam,"16,682",
LAO,130,,Lao PDR,"15,724",
NIC,131,,Nicaragua,"15,672",
GUY,132,,Guyana,"15,358",
MDG,133,,Madagascar,"14,955",
COG,134,,"Congo, Rep.","14,616",
AFG,135,,Afghanistan,"14,583",
MDA,136,,Moldova,"14,421",f
NER,137,,Niger,"13,970",
MKD,138,,North Macedonia,"13,563",
RWA,139,,Rwanda,"13,313",
MWI,140,,Malawi,"13,165",
